meta_doi,meta_instrument_name,scale_name,item_text,database,corpus,url
NA,Mood And Feelings Questionnaire (34-item)(MFQ),total_scale,I felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=EPAD
NA,Mood and Feelings Questionnaire (13-item) (MFQ) (Short version),total_scale,I felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=LOGIC
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=MHCYP
NA,Mood and Feelings Questionnaire - Child Short Version (13-item) (MFQ),total_scale,I felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=REACH
NA,Mood and Feelings Questionnaire (MFQ),total_scale,I felt miserable or unhappy,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=ROOTS
NA,PROMIS Item Bank v0.1 – Sleep Disturbance – Short Form 6a,total_scale,my sleep was restless,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2023-05/sleep-disturbance-6a-cdes
NA,Mini Brief Risk-Resilience Index for Screening (BRISC),total_scale,I felt down or sad,ScienceofBehaviorChange,larsen_corpus,NA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I was bothered by things that usually don't bother me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I was bothered by things that usually don't bother me.,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I was bothered by things that usually don't bother me.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I was bothered by things that usually didn't bother me,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I felt depressed,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt depressed,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I felt depressed,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I felt depressed.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I had trouble keeping my mind on what I was doing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I had trouble keeping my mind on what I was doing,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I had trouble keeping my mind on what I was doing,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I had trouble keeping my mind on what I was doing.,ScienceofBehaviorChange,larsen_corpus,NA
NA,Centre for Epidemiologic Studies Depression Scale Revised (20-item) (CES-D),total_scale,I had crying spells,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=HEAF
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I had crying spells,CatalogueMentalHealth,larsen_corpus,https://www.cataloguementalhealth.ac.uk/?content=study&studyid=NICOLA
NA,Center for Epidemiologic Studies Depression Scale (CES-D),total_scale,I had crying spells,NIHHeal,larsen_corpus,https://heal.nih.gov/files/CDEs/2024-03/cesd-cde
NA,Depression Scale,total_scale,I had crying spells.,ScienceofBehaviorChange,larsen_corpus,NA
