"DOI","Name","meta_instrument_name","n_items","usage_count","mtype","in_targets156"
"10.1037/t01528-000","alcohol use disorders identification test","Alcohol Use Disorders Identification Test (10-item) (AUDIT-10)","10","8513","exact","FALSE"
"10.1037/t05974-000","ucla loneliness scale","UCLA Loneliness Scale","20","1519","exact","TRUE"
"10.1037/t03907-000","revised neo personality inventory","NEO Personality Inventory (NEO-PI)","276","380","exact","FALSE"
"10.1037/t10760-000","snaith-hamilton pleasure scale","Snaith-Hamilton Pleasure Scale (SHAPS)","14","379","exact","FALSE"
"10.1037/t13026-000","activities-specific balance confidence scale","The Activities-Specific Balance Confidence Scale (ABC)","17","308","core","FALSE"
"10.1037/t01856-000","juvenile victimization questionnaire","The Juvenile Victimization Questionnaire","26","297","core","FALSE"
"10.1037/t06466-000","subjective vitality scale","Subjective Vitality Scale (Individual Difference Level Version)","7","262","exact","FALSE"
"10.1037/t69085-000","overall anxiety severity and impairment questionnaire","Overall Anxiety Severity and Impairment Scale (OASIS)","5","239","core","FALSE"
"10.1037/t29280-000","center for epidemiologic studies depression scale-revised","Center for Epidemiologic Studies Depression Scale (CES-D)","24","235","exact","FALSE"
"10.1037/t07466-000","stressful life events screening questionnaire","Stressful Life Events Screening Questionnaire (SLESQ)","13","200","exact","FALSE"
"10.1037/t05188-000","effort-reward imbalance questionnaire","The Effort-Reward Imbalance Questionnaire (ERI)","21","158","core","FALSE"
"10.1037/t32746-000","medical outcomes study sleep scale","Medical Outcomes Study-Sleep Scale","12","157","exact","FALSE"
"10.1037/t06496-000","state-trait anxiety inventory for adults","State-Trait Anxiety Inventory (State Anxiety only) (20-item) (STAI)","20","141","exact","FALSE"
"10.1037/t07488-000","brief trauma questionnaire","Brief Trauma Questionnaire","10","97","exact","FALSE"
"10.1037/t05556-000","home observation for measurement of the environment inventory","Home Observation for Measurement of the Environment","45","96","core","FALSE"
"10.1037/t04650-000","acute stress disorder interview","Acute Stress Disorder Scale","20","66","core","FALSE"
"10.1037/t82606-000","religious coping scale","Brief Religious Coping (RCOPE)","14","59","core","FALSE"
"10.1037/t23288-000","psychological inflexibility in pain scale","The Psychological Inflexibility in Pain Scale (PIPS)","12","47","core","FALSE"
"10.1037/t74936-000","euroqol 5 dimensions 5 levels","EQ-5D-5L (5-item)","5","31","exact","FALSE"
"10.1037/t14562-000","zimbardo time perspective inventory--short version","Zimbardo Time Perspective Scale","13","18","core","FALSE"
"10.1037/t44324-000","three-factor eating questionnaire--revised 18-item version","Three Factor Eating Questionnaire","18","17","exact","FALSE"
"10.1037/t66797-000","health of the nation outcome scales for people with learning disabilities","Health of the Nation Outcome Scales (11-item) (HoNOS)","20","13","exact","FALSE"
"10.1037/t18260-000","roland morris disability questionnaire","Roland-Morris Disability Questionnaire (RDQ)","24","10","exact","FALSE"
"10.1037/t27953-000","coping competence scale--revised","Coping Competence Questionnaire (CCQ)","12","4","core","FALSE"
"10.1037/t55594-000","patient health questionnaire-9--haitian creole version","Patient Health Questionnaire (8-item + impact question) (PHQ-8)","10","2","exact","FALSE"
"10.1037/t84319-000","parent risk and impact screening measure","Parent Risk and Impact Screening Measure (PRISM)","13","2","exact","FALSE"
"10.1037/t51323-000","edinburgh postnatal depression scale--bangla version","Edinburgh Postnatal Depression Scale (10-item) (EPDS)","10","1","exact","FALSE"
"10.1037/t74016-000","world health organization quality of life--spirituality, religion and personal beliefs questionnaire bref","The World Health Organization Quality of Life (WHOQOL-BREF)","30","1","core","FALSE"
"10.1037/t84631-000","pittsburgh sleep quality index--kurdish version","Pittsburgh Sleep Quality Index","19","1","exact","FALSE"
"10.1037/t07835-000","standardized assessment of personality--abbreviated scale","Standardised Assessment of Personality Abbreviated Scale (8-item) (SAPAS)","8","0","exact","FALSE"
"10.1037/t21084-000","self-control measure","Brief Self-Control Survey","13","0","core","FALSE"
"10.1037/t24614-000","collective efficacy scale--revised","Collective Efficacy Scale","14","0","exact","FALSE"
"10.1037/t40193-000","rosenberg self-esteem scale--appearance-specific physical self-esteem version","Rosenberg Self-esteem Scale (10-item) (RSE)","10","0","exact","FALSE"
"10.1037/t47752-000","self-compassion scale-short form--modified","Self-compassion Scale short form (SCS-SF)","12","0","core","FALSE"
"10.1037/t48799-000","professional quality of life scale--adapted","Professional Quality of Life Scale (Compassion Satisfaction and Compassion Fatigue Version)","30","0","exact","FALSE"
"10.1037/t51188-000","stanford acute stress reaction questionnaire--modified","The Stanford Acute Stress Reaction Questionnaire","20","0","core","FALSE"
"10.1037/t53541-000","psychological well-being scale--modified","Psychological Well Being Scale","12","0","exact","FALSE"
"10.1037/t54910-000","pregnancy-related anxiety questionnaire-revised; modified version","Pregnancy Related Anxiety-Scale","10","0","core","FALSE"
"10.1037/t58252-000","life stressor checklist--revised; modified","Life Stressor Checklist - Revised","33","0","core","FALSE"
"10.1037/t59448-000","positive and negative affect scales--modified short version","Positive and Negative Affect Schedule (PANAS)","20","0","core","FALSE"
"10.1037/t59866-000","rosenberg self-esteem scale--modified","Rosenberg Self-Esteem Scale (6-item) (RSE)","6","0","exact","FALSE"
"10.1037/t65236-000","hdqlife concern with death and dying scale","HDQLIFE Concern with Death and Dying","12","0","core","FALSE"
"10.1037/t66586-000","abbreviated job content questionnaire--adapted to sex work labor","Job Content Questionnaire","14","0","exact","FALSE"
"10.1037/t68727-000","geriatric depression scale--brief informant version","Geriatric Depression Scale (Short Version) (15-items)","15","0","exact","FALSE"
"10.1037/t68837-000","strengths and difficulties questionnaire--kirundi version","Strengths and Difficulties Questionnaire (25-item) (SDQ)","25","0","exact","FALSE"
"10.1037/t75593-000","perceived stress scale--people with aphasia version","Perceived Stress Scale","10","0","exact","FALSE"
"10.1037/t79510-000","multidimensional assessment of interoceptive awareness--youth version","Multidimensional Assessment of Interoceptive Awareness (MAIA)","37","0","exact","FALSE"
"10.1037/t80262-000","satisfaction with life scale--american sign language version","Satisfaction with Life Scale (5-item) (SWLS)","5","0","exact","FALSE"
