"DOI","Name","meta_instrument_name","n_items","usage_count","mtype","covered_synthnet","covered_hunt","covered_semnet"
"10.1037/t00032-000","antisocial process screening device","Antisocial Process Screening Device (20-item) (APSD)",20,397,"exact",TRUE,FALSE,FALSE
"10.1037/t00034-000","anxiety sensitivity index-3","ASI-3",17,623,"exact",TRUE,FALSE,FALSE
"10.1037/t00522-000","short self-regulation questionnaire","Self-Regulation Questionnaire (SSRQ)",30,49,"core",TRUE,FALSE,FALSE
"10.1037/t00540-000","strengths and difficulties questionnaire","Strengths and Difficulties Questionnaire (25-item) (SDQ)",25,6257,"exact",FALSE,TRUE,FALSE
"10.1037/t00644-000","acute stress disorder scale","Acute Stress Disorder Scale",20,153,"exact",TRUE,FALSE,FALSE
"10.1037/t00741-000","beck depression inventory","Beck Depression Inventory (21-item)(BDI)",84,25118,"exact",FALSE,TRUE,FALSE
"10.1037/t00869-000","consideration of future consequences scale","Consideration of Future Consequences Scale",14,209,"exact",TRUE,FALSE,FALSE
"10.1037/t01038-000","rosenberg self-esteem scale","Rosenberg Self-esteem Scale (10-item) (RSE)",10,10896,"exact",TRUE,FALSE,FALSE
"10.1037/t01069-000","satisfaction with life scale","Satisfaction with Life Scale (5-item) (SWLS)",5,7023,"exact",TRUE,FALSE,FALSE
"10.1037/t01074-000","meaning in life questionnaire","Meaning in Life Questionnaire (MLQ)",10,728,"exact",TRUE,FALSE,FALSE
"10.1037/t01397-000","zimbardo time perspective inventory","Zimbardo Time Perspective Inventory",56,332,"exact",TRUE,FALSE,FALSE
"10.1037/t01408-000","world health organization quality of life-bref","The World Health Organization Quality of Life (WHOQOL-BREF)",30,1642,"core",TRUE,FALSE,FALSE
"10.1037/t01528-000","alcohol use disorders identification test","Alcohol Use Disorders Identification Test (10-item) (AUDIT-10)",10,8513,"exact",FALSE,FALSE,FALSE
"10.1037/t01688-000","oldenburg burnout inventory","Oldenburg Burnout Inventory",16,299,"exact",TRUE,FALSE,FALSE
"10.1037/t01756-000","edinburgh postnatal depression scale","Edinburgh Postnatal Depression Scale (10-item) (EPDS)",10,3750,"exact",FALSE,FALSE,TRUE
"10.1037/t01771-000","perceived wellness survey","Perceived Wellness Survey (PWS)",36,26,"exact",TRUE,FALSE,FALSE
"10.1037/t01786-000","geriatric depression scale-short form","Geriatric Depression Scale (Short Version) (15-items)",15,595,"exact",TRUE,FALSE,FALSE
"10.1037/t01837-000","gratitude questionnaire-6","Gratitude Questionnaire (GQ-6)",6,320,"exact",TRUE,FALSE,FALSE
"10.1037/t01856-000","juvenile victimization questionnaire","The Juvenile Victimization Questionnaire",26,297,"core",FALSE,FALSE,FALSE
"10.1037/t02357-000","michigan alcoholism screening test","Michigan Alcoholism Screening Test (MAST)",27,783,"exact",FALSE,TRUE,FALSE
"10.1037/t02380-000","multidimensional scale of perceived social support","Multidimensional Scale of Perceived Social Support (MSPSS)",12,847,"exact",TRUE,FALSE,FALSE
"10.1037/t02622-000","ptsd checklist-civilian version","PTSD Checklist Civilian Version",17,1402,"exact",FALSE,TRUE,FALSE
"10.1037/t02942-000","center for epidemiological studies depression scale","Center for Epidemiologic Studies Depression Scale (CES-D)",24,4876,"exact",TRUE,FALSE,FALSE
"10.1037/t03589-000","hospital anxiety and depression scale","Hospital Anxiety and Depression Scale (14-item)(HADS)",13,12134,"exact",FALSE,FALSE,TRUE
"10.1037/t03592-000","positive and negative affect schedule","Positive and Negative Affect Schedule (PANAS)",20,6313,"exact",TRUE,FALSE,FALSE
"10.1037/t03593-000","physical health questionnaire","Physical Health Index",17,117,"core",TRUE,FALSE,FALSE
"10.1037/t03609-000","job content questionnaire","Job Content Questionnaire",14,845,"exact",TRUE,FALSE,FALSE
"10.1037/t03749-000","combat exposure scale","Combat Exposure Scale",7,0,"exact",TRUE,FALSE,FALSE
"10.1037/t03907-000","revised neo personality inventory","NEO Personality Inventory (NEO-PI)",276,380,"exact",FALSE,FALSE,FALSE
"10.1037/t04534-000","life stressor checklist--revised","Life Stressor Checklist - Revised",33,200,"exact",TRUE,FALSE,FALSE
"10.1037/t04710-000","trauma screening questionnaire","Trauma Screening Questionnaire (TSQ)",12,167,"exact",TRUE,FALSE,FALSE
"10.1037/t04751-000","daily stress inventory","Daily Stress Inventory",60,97,"exact",FALSE,FALSE,TRUE
"10.1037/t05188-000","effort-reward imbalance questionnaire","The Effort-Reward Imbalance Questionnaire (ERI)",21,158,"core",FALSE,FALSE,FALSE
"10.1037/t05192-000","professional quality of life scale","Professional Quality of Life Scale (Compassion Satisfaction and Compassion Fatigue Version)",30,266,"exact",TRUE,FALSE,FALSE
"10.1037/t05556-000","home observation for measurement of the environment inventory","Home Observation for Measurement of the Environment",45,96,"core",FALSE,FALSE,FALSE
"10.1037/t05974-000","ucla loneliness scale","UCLA Loneliness Scale",20,1519,"exact",FALSE,FALSE,FALSE
"10.1037/t06165-000","patient health questionnaire-9","Patient Health Questionnaire (8-item + impact question) (PHQ-8)",10,9492,"exact",FALSE,FALSE,FALSE
"10.1037/t06168-000","patient health questionnaire-4","Patient Health Questionnaire-4 (PHQ-4)",4,544,"exact",TRUE,FALSE,FALSE
"10.1037/t06346-000","connor-davidson resilience scale","The Connor-Davidson Resilience Scale",25,935,"core",FALSE,TRUE,FALSE
"10.1037/t06463-000","emotion regulation questionnaire","Emotion Regulation Questionnaire",10,1569,"exact",FALSE,TRUE,FALSE
"10.1037/t06466-000","subjective vitality scale","Subjective Vitality Scale (Individual Difference Level Version)",7,262,"exact",FALSE,FALSE,FALSE
"10.1037/t06496-000","state-trait anxiety inventory for adults","State-Trait Anxiety Inventory (State Anxiety only) (20-item) (STAI)",20,141,"exact",FALSE,FALSE,FALSE
"10.1037/t07021-000","12-item short form health survey","Short-Form Health Survey (12-item) (SF-12)",12,2304,"exact",FALSE,TRUE,FALSE
"10.1037/t07466-000","stressful life events screening questionnaire","Stressful Life Events Screening Questionnaire (SLESQ)",13,200,"exact",FALSE,FALSE,FALSE
"10.1037/t07488-000","brief trauma questionnaire","Brief Trauma Questionnaire",10,97,"exact",FALSE,FALSE,FALSE
"10.1037/t07835-000","standardized assessment of personality--abbreviated scale","Standardised Assessment of Personality Abbreviated Scale (8-item) (SAPAS)",8,0,"exact",FALSE,FALSE,FALSE
"10.1037/t08001-000","short leyton obsessional inventory--child version","Short Leyton Obsessional Inventory - Child Version (SLOI-SV)",11,3,"exact",TRUE,FALSE,FALSE
"10.1037/t09121-000","bergen burnout inventory - 9","Bergen Burnout Inventory",9,7,"exact",TRUE,FALSE,FALSE
"10.1037/t09267-000","revised life orientation test","Life Orientation Test-Revised (LOT-R)",10,603,"exact",TRUE,FALSE,FALSE
