"counting","source","records_n","records_share","usage_n","usage_share","n_records","n_usage"
"overlapping","synthnet",32223,0.449464375383585,13532,0.370828381900186,71692,31144
"overlapping","hunt",132,0.0018412096189254,132,0.285352091131484,71692,31144
"overlapping","semanticnet",476,0.00663951347430676,377,0.132675577534021,71692,31144
"overlapping","aligns",125,0.00174356971489148,96,0.137457491875083,71692,31144
"overlapping","any_source",32588,0.454555598951068,13828,0.680087761655417,71692,31144
"incremental","synthnet",32223,0.449464375383585,13532,0.370828381900186,71692,31144
"incremental","hunt",132,0.0018412096189254,132,0.285352091131484,71692,31144
"incremental","semanticnet",186,0.00259443173575852,136,0.00878073170481125,71692,31144
"incremental","aligns",47,0.000655582212799197,28,0.0151265569189358,71692,31144
"incremental","any_source",32588,0.454555598951068,13828,0.680087761655417,71692,31144
