"unit","tier","n","mean","sd","median","q10","q25","q75","q90","min","max","share_1_item","share_le_3"
"instrument","aligns",48,21.7916666666667,38.4281359319662,14,7.7,10,20,30,5,276,0,0
"instrument","hunt",120,25.2,26.7354295510155,18,6,10,30,49.8000000000001,1,212,0.0166666666666667,0.05
"instrument","semanticnet",190,22.3736842105263,20.7520596824453,17,6,10,28.75,40,4,166,0,0
"instrument","synthnet",32223,20.3803184061074,24.0711890044628,15,4,8,25,40,1,1003,0.00642398286937901,0.0615398938646309
"instrument","all",32581,20.4117737331574,24.091601614943,15,4,8,25,40,1,1003,0.00641478162119026,0.0610478499739112
"scale_node_own_items","aligns",68,15.3823529411765,33.0368538723654,10,4,5,14.25,24,1,276,0.0294117647058824,0.0882352941176471
"scale_node_own_items","hunt",486,6.4156378600823,8.37030110092408,4,1,1,8,15,1,66,0.347736625514403,0.473251028806584
"scale_node_own_items","semanticnet",190,22.3736842105263,20.7520596824453,17,6,10,28.75,40,4,166,0,0
"scale_node_own_items","synthnet",92887,7.24189606726453,10.6619467182683,5,2,3,8,14,1,596,0.0922411101661158,0.335375240884085
"scale_node_own_items","all",93631,7.27422541679572,10.7378911722416,5,2,3,8,14,1,596,0.0933344725571659,0.335230853029445
"scale_node_incl_subscales","aligns",78,16.1410256410256,31.1042337949894,10.5,4,6,18.75,25.3,1,276,0.0256410256410256,0.0769230769230769
"scale_node_incl_subscales","hunt",557,9.57809694793537,15.8233192808123,5,1,1,10,24,1,212,0.29802513464991,0.409335727109515
"scale_node_incl_subscales","semanticnet",190,22.3736842105263,20.7520596824453,17,6,10,28.75,40,4,166,0,0
"scale_node_incl_subscales","synthnet",112069,10.1740624079808,15.7547235533738,5,2,3,11,23,1,1003,0.0766135148881493,0.282183297789755
"scale_node_incl_subscales","all",112894,10.1957765691711,15.788849189526,5,2,3,11,23,1,1003,0.0775417648413556,0.28219391641717
