"dropped_tier","dropped_DOI","dropped_name","n_items","kept_tier","kept_DOI","kept_name"
"aligns","10.1037/t04650-000","acute stress disorder interview",20,"synthnet","10.1037/t00644-000","acute stress disorder scale"
"aligns","10.1037/t06466-000","subjective vitality scale",7,"synthnet","10.1037/t36415-000","subjective vitality scale--chinese version"
"aligns","10.1037/t21084-000","self-control measure",12,"synthnet","10.1037/t82160-000","brief self-control scale--italian version"
"aligns","10.1037/t27953-000","coping competence scale--revised",12,"synthnet","10.1037/t16072-000","coping competence questionnaire"
"aligns","10.1037/t29280-000","center for epidemiologic studies depression scale-revised",19,"synthnet","10.1037/t10444-000","center for epidemiologic studies depression scale--french version"
"aligns","10.1037/t40193-000","rosenberg self-esteem scale--appearance-specific physical self-esteem version",10,"synthnet","10.1037/t01038-000","rosenberg self-esteem scale"
"semanticnet","10.1037/t15085-000","eating inventory",18,"hunt","10.1037/t02178-000","three factor eating questionnaire"
"aligns","10.1037/t44324-000","three-factor eating questionnaire--revised 18-item version",18,"hunt","10.1037/t02178-000","three factor eating questionnaire"
"aligns","10.1037/t47752-000","self-compassion scale-short form--modified",12,"synthnet","10.1037/t10179-000","self-compassion scale--short form"
"aligns","10.1037/t48799-000","professional quality of life scale--adapted",29,"synthnet","10.1037/t05192-000","professional quality of life scale"
"hunt","10.1037/t01756-000","edinburgh postnatal depression scale",10,"synthnet","10.1037/t12304-000","edinburgh postnatal depression scale--iranian version"
"aligns","10.1037/t51323-000","edinburgh postnatal depression scale--bangla version",10,"synthnet","10.1037/t12304-000","edinburgh postnatal depression scale--iranian version"
"aligns","10.1037/t54910-000","pregnancy-related anxiety questionnaire-revised; modified version",10,"synthnet","10.1037/t77478-000","pregnancy-related thoughts scale--spanish version"
"aligns","10.1037/t58252-000","life stressor checklist--revised; modified",33,"synthnet","10.1037/t04534-000","life stressor checklist--revised"
"aligns","10.1037/t74016-000","world health organization quality of life--spirituality, religion and personal beliefs questionnaire bref",30,"synthnet","10.1037/t01408-000","world health organization quality of life-bref"
"aligns","10.1037/t75593-000","perceived stress scale--people with aphasia version",10,"synthnet","10.1037/t00425-000","perceived stress scale-chinese version"
"aligns","10.1037/t79510-000","multidimensional assessment of interoceptive awareness--youth version",37,"synthnet","10.1037/t79511-000","multidimensional assessment of interoceptive awareness--version 2"
"aligns","10.1037/t82606-000","religious coping scale",14,"synthnet","10.1037/t63201-000","brief religious coping scale--persian version"
"hunt","10.1037/t00534-000","spiritual well-being scale",20,"synthnet","10.1037/t37636-000","spiritual well-being scale--greek version"
"hunt","10.1037/t01093-000","interpersonal reactivity index",28,"synthnet","10.1037/t18922-000","interpersonal reactivity index--french version"
"hunt","10.1037/t01210-000","symptom checklist-90-revised",87,"synthnet","10.1037/t48311-000","self-report symptom inventory"
"hunt","10.1037/t01554-000","brief psychiatric rating scale",13,"synthnet","10.1037/t00050-000","brief psychiatric rating scale a - subscales"
"hunt","10.1037/t01760-000","penn state worry questionnaire",16,"synthnet","10.1037/t03820-000","the penn state worry questionnaire-french version"
"semanticnet","10.1037/t38170-000","penn state worry questionnaire--argentinean version",16,"synthnet","10.1037/t03820-000","the penn state worry questionnaire-french version"
"hunt","10.1037/t02889-000","perceived stress scale",14,"synthnet","10.1037/t12270-000","perceived stress scale--japanese version"
"semanticnet","10.1037/t09086-000","perceived stress measure",14,"synthnet","10.1037/t12270-000","perceived stress scale--japanese version"
"hunt","10.1037/t03589-000","hospital anxiety and depression scale",14,"synthnet","10.1037/t77781-000","hospital anxiety and depression scale--danish version"
"hunt","10.1037/t04993-000","hare psychopathy checklist-revised",19,"synthnet","10.1037/t01167-000","psychopathy checklist-revised"
"hunt","10.1037/t06165-000","patient health questionnaire-9",9,"synthnet","10.1037/t70831-000","patient health questionnaire-9--farsi version"
"hunt","10.1037/t06510-000","parental bonding instrument",25,"synthnet","10.1037/t25403-000","parental bonding instrument--chinese version"
"hunt","10.1037/t07023-000","36-item short form health survey",34,"hunt","10.1037/t06708-000","mos 36-item short-form health survey"
"hunt","10.1037/t10027-000","cope inventory",60,"synthnet","10.1037/t76084-000","coping orientation to problems experienced inventory-48"
"semanticnet","10.1037/t01605-000","hong psychological reactance scale",14,"synthnet","10.1037/t08336-000","hong psychological reactance scale--revised"
"semanticnet","10.1037/t14870-000","problem recognition questionnaire--3 factor version",25,"synthnet","10.1037/t14823-000","problem recognition questionnaire"
"semanticnet","10.1037/t17011-000","life satisfaction measure",6,"synthnet","10.1037/t01069-000","satisfaction with life scale"
"semanticnet","10.1037/t51552-000","revised meaning in life questionnaire",10,"synthnet","10.1037/t01074-000","meaning in life questionnaire"
"semanticnet","10.1037/t55513-000","self-regulation scale",23,"synthnet","10.1037/t00038-000","locomotion and assessment scales"
"semanticnet","10.1037/t60444-000","relational-interdependent self-construal scale for children",11,"synthnet","10.1037/t04569-000","relational-interdependent self-construal scale"
"semanticnet","10.1037/t71256-000","ten item personality inventory--revised version",10,"synthnet","10.1037/t07017-000","ten-item personality inventory--german version"
"semanticnet","10.1037/t71834-000","memorial symptom assessment scale--modified version",18,"synthnet","10.1037/t18770-000","memorial symptom assessment scale--short form"
"semanticnet","10.1037/t73560-000","condensed memorial symptom assessment scale",8,"synthnet","10.1037/t73558-000","condensed memorial symptom assessment scale--spanish version"
"semanticnet","10.1037/t74578-000","dimensional obsessive-compulsive scale--bangla version",18,"synthnet","10.1037/t01031-000","dimensional obsessive-compulsive scale"
