"doi","name","items","matched","files","status"
"10.1037/t02366-000","Barthel Index","10","8","1","REVIEW"
"10.1037/t48377-000","Scale for the Assessment of Positive Symptoms (SAPS)","34","0","4","REVIEW"
"10.1037/t01554-000","Brief Psychiatric Rating Scale (BPRS)","18","10","3","REVIEW"
"10.1037/t57982-000","Yale-Brown Obsessive Compulsive Scale (Y-BOCS)","10","10","8","ok"
"10.1037/t01093-000","Interpersonal Reactivity Index (IRI)","28","23","3","REVIEW"
"10.1037/t01760-000","Penn State Worry Questionnaire (PSWQ)","16","16","2","ok"
"10.1037/t18128-000","Autism Diagnostic Interview-Revised (ADI-R)","107","90","1","REVIEW"
"10.1037/t00025-000","Addiction Severity Index","212","128","4","REVIEW"
"10.1037/t05178-000","Pittsburgh Sleep Quality Index (PSQI)","24","13","3","REVIEW"
"10.1037/t07023-000","36-Item Short Form Health Survey (SF-36)","36","30","3","REVIEW"
"10.1037/t07081-000","Epworth Sleepiness Scale (ESS)","8","0","12","REVIEW"
"10.1037/t03974-000","Eating Disorder Examination Questionnaire (EDE-Q)","28","0","6","REVIEW"
"10.1037/t02080-000","Childhood Trauma Questionnaire - Short Form (CTQ-SF)","28","28","17","ok"
"10.1037/t04111-000","Montgomery-Asberg Depression Rating Scale (MADRS)","10","4","2","REVIEW"
"10.1037/t02121-000","Composite International Diagnostic Interview (CIDI) 3.0 | WHO WMH-CIDI","101","85","5","REVIEW"
"10.1037/t06803-000","Instrumental Activities of Daily Living Scale (IADL)","8","0","6","REVIEW"
"10.1037/t00303-000","Impact of Event Scale (IES)","15","14","2","ok"
"10.1037/t35126-000","National Institutes of Health Stroke Scale (NIHSS)","13","0","4","REVIEW"
"10.1037/t02175-000","Dyadic Adjustment Scale (DAS)","32","28","5","REVIEW"
"10.1037/t27207-000","Wechsler Memory Scale (WMS)","0","","0","not_found"
"10.1037/t07021-000","12-item Short Form Health Survey (SF-12v2)","12","0","6","REVIEW"
"10.1037/t01029-000","Difficulties in Emotion Regulation Scale (DERS)","36","35","11","ok"
"10.1037/t31330-000","International Physical Activity Questionnaire (IPAQ) — Long Form, Last 7 Days Self-Administered","27","0","16","REVIEW"
"10.1037/t06463-000","Emotion Regulation Questionnaire (ERQ)","10","10","1","ok"
"10.1037/t10642-000","Toronto Alexithymia Scale","26","26","3","ok"
"10.1037/t03902-000","Temperament and Character Inventory (TCI / TCI-R)","0","","0","not_found"
"10.1037/t02622-000","PTSD Checklist-Civilian Version (PCL-C)","17","0","2","REVIEW"
"10.1037/t02711-000","Eysenck Personality Inventory (EPI)","57","39","2","REVIEW"
"10.1037/t17260-000","Social Responsiveness Scale (SRS-2, School-age Form)","65","3","2","REVIEW"
"10.1037/t07564-000","NEO Personality Inventory-Revised (NEO-PI-R)","0","","0","not_found"
"10.1037/t07472-000","Dissociative Experiences Scale","28","28","1","ok"
"10.1037/t03903-000","Personality Assessment Inventory","0","","0","not_found"
"10.1037/t04131-000","Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog)","11","0","2","REVIEW"
"10.1037/t48466-000","Global Deterioration Scale (GDS)","7","7","4","ok"
"10.1037/t02879-000","Adult Attachment Interview (AAI)","20","0","4","REVIEW"
"10.1037/t05050-000","Multidimensional Anxiety Scale for Children (MASC)","39","37","6","ok"
"10.1037/t03776-000","Posttraumatic Growth Inventory (PTGI)","21","","2","no_source_text (scanned or nothing archived)"
"10.1037/t01522-000","CAGE Questionnaire","4","4","6","ok"
"10.1037/t02445-000","Parenting Stress Index","0","","0","not_found"
"10.1037/t52667-000","Columbia-Suicide Severity Rating Scale (C-SSRS)","17","0","2","REVIEW"
"10.1037/t49277-000","Wide Range Achievement Test","0","","0","not_found"
"10.1037/t49458-000","Childhood Autism Rating Scale (CARS)","15","","2","no_source_text (scanned or nothing archived)"
"10.1037/t07870-000","","0","","0","not_found"
"10.1037/t03938-000","South Oaks Gambling Screen (SOGS)","16","0","1","REVIEW"
"10.1037/t78752-000","Diagnostic Interview Schedule for Children (DISC-IV / NIMH DISC-IV)","12","0","8","REVIEW"
"10.1037/t06346-000","Connor-Davidson Resilience Scale (CD-RISC)","25","25","4","ok"
"10.1037/t06510-000","Parental Bonding Instrument (PBI)","25","25","2","ok"
"10.1037/t48859-000","Wechsler Preschool and Primary Scale of Intelligence-Revised","0","","0","not_found"
"10.1037/t02178-000","","0","","0","not_found"
"10.1037/t03624-000","","0","","0","not_found"
"10.1037/t15164-000","","0","","0","not_found"
"10.1037/t02254-000","Morningness-Eveningness Questionnaire (MEQ)","19","8","4","REVIEW"
"10.1037/t03975-000","Eating Disorder Examination (EDE)","49","0","2","REVIEW"
"10.1037/t07502-000","Brief Symptom Inventory-18","18","0","1","REVIEW"
"10.1037/t73087-000","Behavior Rating Inventory of Executive Function (BRIEF)","0","","0","not_found"
"10.1037/t66667-000","International Affective Picture System (IAPS)","3","0","3","REVIEW"
"10.1037/t28729-000","Berg Balance Scale (BBS)","14","9","4","REVIEW"
"10.1037/t04145-000","Short Portable Mental Status Questionnaire (SPMSQ)","10","0","1","REVIEW"
"10.1037/t15771-000","Ecological Momentary Assessment (EMA) diary items (Juth, Smyth & Santuzzi, 2008)","20","9","2","REVIEW"
"10.1037/t49618-000","Barnes Akathisia Rating Scale (BARS)","4","0","5","REVIEW"
"10.1037/t07845-000","Eyberg Child Behavior Inventory (ECBI)","36","29","2","REVIEW"
"10.1037/t64702-000","Patient Health Questionnaire-8 (PHQ-8)","8","0","3","REVIEW"
"10.1037/t42601-000","Children's Yale-Brown Obsessive-Compulsive Scale (CY-BOCS)","10","7","2","REVIEW"
"10.1037/t77117-000","Work and Social Adjustment Scale (WSAS)","5","5","2","ok"
"10.1037/t02357-000","Michigan Alcoholism Screening Test (MAST)","25","19","1","REVIEW"
"10.1037/t01318-000","Twenty-Item Toronto Alexithymia Scale (TAS-20)","20","20","2","ok"
"10.1037/t51564-000","Posttraumatic Stress Disorder Checklist for DSM-5 (PCL-5)","20","19","1","ok"
"10.1037/t02485-000","Posttraumatic Diagnostic Scale (PDS / PTDS)","6","","2","no_source_text (scanned or nothing archived)"
"10.1037/t06040-000","Body Shape Questionnaire (BSQ)","34","0","1","REVIEW"
"10.1037/t04510-000","Inventory of Parent and Peer Attachment (IPPA)","75","50","3","REVIEW"
"10.1037/t06571-000","Zarit Burden Interview (ZBI)","22","22","1","ok"
"10.1037/t02278-000","Inventory of Interpersonal Problems (IIP)","0","","0","not_found"
"10.1037/t71125-000","Alcohol Use Disorders Identification Test - Consumption (AUDIT-C)","0","","0","not_found"
"10.1037/t10453-000","Aberrant Behavior Checklist","58","57","1","ok"
"10.1037/t03748-000","Quality of Life Inventory (QOLI)","17","0","1","REVIEW"
"10.1037/t01526-000","Alcohol, Smoking and Substance Involvement Screening Test (ASSIST)","8","0","1","REVIEW"
"10.1037/t15177-000","","0","","0","not_found"
"10.1037/t55280-000","Children's Depression Rating Scale--Revised (CDRS-R)","17","1","1","REVIEW"
"10.1037/t07116-000","Stanford Sleepiness Scale","7","","1","no_source_text (scanned or nothing archived)"
"10.1037/t07469-000","Harvard Trauma Questionnaire (HTQ)","30","30","5","ok"
"10.1037/t56083-000","semantic differential scale","7","4","1","REVIEW"
"10.1037/t02126-000","revised conflict tactics scales (CTS2)","78","36","2","REVIEW"
"10.1037/t08059-000","Balanced Inventory of Desirable Responding (BIDR)","40","","1","no_source_text (scanned or nothing archived)"
"10.1037/t00030-000","Alcohol Dependence Scale (ADS)","25","0","2","REVIEW"
"10.1037/t49977-000","Autism Diagnostic Interview (ADI)","32","","1","no_source_text (scanned or nothing archived)"
