"DOI","Name","usage_count","first_acronym","AlternateNameList","WebsiteList","status","original_DOI_combined"
"10.1037/t00741-000","beck depression inventory","25118","BDI","","https://www.pearsonassessments.com/","not in corpus","NA"
"10.1037/t00742-000","beck depression inventory-ii","14268","BDI-II","","https://www.pearsonassessments.com/professional-assessments.html","not in corpus","NA"
"10.1037/t05056-000","positive and negative syndrome scale","13316","PANSS","","http://www.mhs.com/panss","not in corpus","NA"
"10.1037/t03589-000","hospital anxiety and depression scale","12134","HADS","","","not in corpus","NA"
"10.1037/t06165-000","patient health questionnaire-9","9492","PHQ-9","","http://phqscreeners.com","in corpus, no scaled items","NA"
"10.1037/t01210-000","symptom checklist-90-revised","7095","SCL-90-R","","https://www.pearsonassessments.com/store/usassessments/en/Store/Professional-Assessments/Personality-%26-Biopsychosocial/Symptom-Checklist-90-Revised/p/100000645.html?tab=product-details","not in corpus","10.1037/t09699-000"
"10.1037/t02889-000","perceived stress scale","6494","NA","","","not in corpus","NA"
"10.1037/t00540-000","strengths and difficulties questionnaire","6257","SDQ","","http://www.sdqinfo.org","not in corpus","NA"
"10.1037/t01756-000","edinburgh postnatal depression scale","3750","EPDS","","","not in corpus","NA"
"10.1037/t00072-000","clinician-administered ptsd scale","3487","NA","","","not in corpus","NA"
