semanticnet_scale,n_items,match_type,n_dois,dois
10_item_personality_inventory,10,none,0,
ability,6,none,0,
ability2,6,none,0,
academic performance rating,19,core_exact,4,10.1037/t11269-000;10.1037/t18996-000;10.1037/t20551-000;10.1037/t37840-000
acceptance of blog usage,23,none,0,
acceptance of chronic pain,19,none,0,
acceptance of cosmetic surgery,15,core_exact,5,10.1037/t21011-000;10.1037/t21036-000;10.1037/t76076-000;10.1037/t80188-000;10.1037/t83148-000
acceptance of disability,10,core_exact,1,10.1037/t15375-000
acceptance of hedonic information systems,12,none,0,
acceptance of interpersonal violence,6,core_exact,1,10.1037/t06664-000
acceptance of modern myths about sexual aggression,30,exact,2,10.1037/t02749-000;10.1037/t74102-000
acceptance of myths about partner violence women,15,none,0,
acceptance of stereotyping,12,core_exact,1,10.1037/t09367-000
achievement-seeking,10,none,0,
achievement-striving,10,none,0,
achievement-striving2,10,none,0,
achievement-striving3,10,none,0,
action control,71,core_exact,2,10.1037/t08546-000;10.1037/t42415-000
action control - hesitation,37,none,0,
action control - preoccupation,42,none,0,
action control - volatility,37,none,0,
actively open-minded thinking,7,core_exact,3,10.1037/t12030-000;10.1037/t41728-000;10.1037/t69074-000
activism orientation,35,core_exact,1,10.1037/t81933-000
activities of daily living - hoarding,15,fuzzy,1,10.1037/t61642-000
activity level,10,core_exact,1,10.1037/t75313-000
activity level2,10,none,0,
adaptability,8,core_exact,1,10.1037/t79470-000
addiction mobile phone - anxious,5,none,0,
addiction mobile phone - control,7,none,0,
addiction mobile phone - productivity,2,none,0,
addiction mobile phone - withdrawal,3,none,0,
adhd,12,core_exact,4,10.1037/t05638-000;10.1037/t16494-000;10.1037/t23496-000;10.1037/t49323-000
adhd2,6,none,0,
adofo racial discrimination,10,none,0,
adolescent alcohol & drug involvement scale,8,fuzzy,1,10.1037/t00850-000
adolescent femininity ideology,20,core_exact,2,10.1037/t16889-000;10.1037/t49924-000
adolescent friendship attachment - anxious,9,none,0,
adolescent friendship attachment - avoidant,8,none,0,
adolescent friendship attachment - secure,13,none,0,
adolescent masculinity ideology in relationships,12,core_exact,1,10.1037/t68737-000
adolescent pain – parent - concerns,8,none,0,
adolescent pain – parent - feelings,9,none,0,
adolescent pain – parent - partner,7,none,0,
adolescent pain – parent - relation,9,none,0,
adolescent pain – parent - social,8,none,0,
adolescent pain – parent - thoughts,5,none,0,
adolescent pain – parent - thoughts2,11,none,0,
adolescent pain – parent - worries,6,none,0,
adolescent therapeutic alliance,14,none,0,
adult attachment - anxiety,6,none,0,
adult attachment - close,6,none,0,
adult attachment - depend,6,none,0,
adult hope,12,core_exact,1,10.1037/t61710-000
adult separation anxiety,27,core_exact,3,10.1037/t75651-000;10.1037/t82822-000;10.1037/t82996-000
adventure,10,none,0,
adventurousness,10,none,0,
adventurousness2,10,none,0,
adventurousness3,10,none,0,
aesthetic appreciation,10,none,0,
affect balance,10,core_exact,1,10.1037/t10829-000
affect based trust colquitt,6,none,0,
affect intensity,50,core_exact,4,10.1037/t06142-000;10.1037/t14695-000;10.1037/t15563-000;10.1037/t34251-000
affective commitment colquitt,6,none,0,
affective lability,6,core_exact,2,10.1037/t08045-000;10.1037/t09592-000
affective learning - classes,5,none,0,
affective learning - classxinstructor,6,none,0,
affective learning - content,5,none,0,
affective learning - instructor,5,none,0,
affectometer,40,exact,3,10.1037/t67968-000;10.1037/t74539-000;10.1037/t82097-000
affects,20,none,0,
aggression - anger,7,none,0,
aggression - hostility,8,none,0,
aggression - physical aggression,9,none,0,
aggression - verbal aggression,5,none,0,
aggressive provocation,12,none,0,
agoraphobic cognitions,14,core_exact,3,10.1037/t02003-000;10.1037/t03726-000;10.1037/t60147-000
agreeableness,10,core_exact,2,10.1037/t32969-000;10.1037/t46146-000
agreeableness 10 item,10,none,0,
agreeableness 10 item2,10,none,0,
agreeableness 20 item,20,none,0,
agreeableness 20 item2,20,none,0,
agreeableness2,10,none,0,
alabama parenting - discipline,6,none,0,
alabama parenting - involvement,10,none,0,
alabama parenting - positive,16,none,0,
alabama parenting - practices,7,none,0,
alabama parenting - punishment,3,none,0,
alabama parenting s,9,fuzzy,5,10.1037/t07327-000;10.1037/t49227-000;10.1037/t57517-000;10.1037/t58031-000;10.1037/t80816-000
alcohol expectancy adolsescent,7,fuzzy,2,10.1037/t01506-000;10.1037/t65367-000
alcohol ladder,10,exact,1,10.1037/t17165-000
alcohol responsibility,62,none,0,
alcoholics anonymous involvement,13,core_exact,1,10.1037/t04019-000
alcoholism,17,none,0,
alexithymia - describing feelings,5,none,0,
alexithymia - externally oriented,8,none,0,
alexithymia - identifying feelings,7,none,0,
alienation,20,core_exact,1,10.1037/t06232-000
allophilia,17,core_exact,2,10.1037/t02162-000;10.1037/t45462-000
almost perfect,23,core_exact,7,10.1037/t02161-000;10.1037/t52034-000;10.1037/t73941-000;10.1037/t74544-000;10.1037/t75297-000;10.1037/t79056-000;10.1037/t83305-000
aloof-introverted,4,none,0,
altman self-rating scale for mania,6,none,0,
altruism,10,core_exact,9,10.1037/t10772-000;10.1037/t15204-000;10.1037/t19159-000;10.1037/t26667-000;10.1037/t50716-000;10.1037/t62374-000;10.1037/t69941-000;10.1037/t75686-000
altruism2,13,none,0,
ambiguity tolerance,21,core_exact,2,10.1037/t18894-000;10.1037/t35219-000
ambivalence toward homosexuality,5,none,0,
ambivalent sexism - men,8,none,0,
ambivalent sexism - women,8,none,0,
amiability,10,none,0,
amorality,14,none,0,
analysis,10,none,0,
anger,10,core_exact,6,10.1037/t11127-000;10.1037/t15471-000;10.1037/t41950-000;10.1037/t42222-000;10.1037/t42368-000;10.1037/t60041-000
anger cognitions,27,core_exact,1,10.1037/t85705-000
anger expression children,26,fuzzy,2,10.1037/t81079-000;10.1037/t81081-000
anger inventory,25,core_exact,6,10.1037/t11127-000;10.1037/t15471-000;10.1037/t41950-000;10.1037/t42222-000;10.1037/t42368-000;10.1037/t60041-000
anger2,6,none,0,
anhedonia,6,core_exact,2,10.1037/t28042-000;10.1037/t79671-000
anomie alienation,12,none,0,
anomy,9,none,0,
anti?arab prejudice,42,none,0,
antifat attitude,13,none,0,
antisemitism,66,none,0,
anxiety,10,core_exact,24,10.1037/t01390-000;10.1037/t02010-000;10.1037/t04191-000;10.1037/t06075-000;10.1037/t08002-000;10.1037/t09922-000;10.1037/t11129-000;10.1037/t11330-000
anxiety and preoccupation w sleep,10,none,0,
anxiety control children,30,fuzzy,1,10.1037/t72165-000
anxiety disorder,11,none,0,
anxiety sensitivity index-revised,36,exact,1,10.1037/t10350-000
anxiety sensitivity profile,60,exact,1,10.1037/t10721-000
anxiety2,10,none,0,
anxiety3,10,none,0,
anxiety4,10,none,0,
anxiety5,10,none,0,
anxious self-statements,20,core_exact,1,10.1037/t02011-000
anxiousness,7,none,0,
apathy evaluation,18,core_exact,4,10.1037/t28570-000;10.1037/t62658-000;10.1037/t64226-000;10.1037/t77775-000
appearance,4,none,0,
appearance-based rejection sensitivity,29,none,0,
appraisal of diabetes,7,core_exact,2,10.1037/t45988-000;10.1037/t46783-000
appreciation of beauty,8,none,0,
ar - angry afterthoughts,6,none,0,
ar - angry memories,5,none,0,
ar - thoughts of revenge,4,none,0,
ar - understanding of causes,4,none,0,
arizona sexual experiences,5,fuzzy,6,10.1037/t30328-000;10.1037/t63423-000;10.1037/t64448-000;10.1037/t65234-000;10.1037/t66985-000;10.1037/t83269-000
arrogant-calculating,4,none,0,
arthritis self-efficacy - function,9,none,0,
arthritis self-efficacy - pain,5,none,0,
arthritis self-efficacy - symptoms,7,none,0,
artistic interests,10,none,0,
aspects of identity,86,core_exact,1,10.1037/t14426-000
assertiveness,10,core_exact,3,10.1037/t02014-000;10.1037/t16098-000;10.1037/t85121-000
assertiveness2,10,none,0,
assertiveness3,10,none,0,
assertiveness4,10,none,0,
assertiveness5,12,none,0,
assessment of disruptive symptoms - parent,33,none,0,
assessment of disruptive symptoms - teacher,29,none,0,
assured-dominant,4,none,0,
athens insomnia,8,core_exact,2,10.1037/t16796-000;10.1037/t69272-000
athletic coping skills,28,core_exact,1,10.1037/t69043-000
athletic identity - appearance,6,none,0,
athletic identity - competence,4,none,0,
athletic identity - importance,5,none,0,
athletic skills coping - adversity,4,none,0,
athletic skills coping - coachability,4,none,0,
athletic skills coping - concentration,4,none,0,
athletic skills coping - confidence,4,none,0,
athletic skills coping - freedom from worry,4,none,0,
athletic skills coping - goal setting,4,none,0,
athletic skills coping - pressure,4,none,0,
attachment qualities,14,fuzzy,1,10.1037/t08654-000
attachment style,15,core_exact,7,10.1037/t14508-000;10.1037/t28559-000;10.1037/t29439-000;10.1037/t36428-000;10.1037/t58974-000;10.1037/t75708-000;10.1037/t79493-000
attending to emotions,10,none,0,
attention/persistence,9,none,0,
attentional resource allocation,15,core_exact,1,10.1037/t14348-000
attitude follow-up,19,none,0,
attitude toward posthumous organ donation,17,none,0,
attitude towards persons with intellectual disability cp,6,fuzzy,1,10.1037/t70737-000
attitude towards persons with intellectual disability pr,4,fuzzy,1,10.1037/t70737-000
attitude towards persons with intellectual disability sl,11,fuzzy,1,10.1037/t70737-000
attitude towards research,20,fuzzy,1,10.1037/t45959-000
attitudes to surgical checklist,25,none,0,
