dataset,variant,n_pairs,pearson_r,spearman_rho,mae,rmse,sign_error_rate,n_pairs_sign
pilot_holdout,plain,6245,0.23257386366845262,0.22279351270845724,0.21208686386230358,0.27898552030128976,0.3630349390117842,4837
pilot_holdout,documented,6245,0.8687680364329191,0.8584115519093287,0.10551761199803503,0.13458653148039396,0.07194542071531941,4837
pilot_holdout,aligned,6245,0.867757041192796,0.857559565096066,0.10592833946564113,0.13521972560865142,0.07194542071531941,4837
pilot_holdout,aligned_loo,6245,0.8289695271198689,0.813112940135216,0.11559986345153282,0.15386450600883111,0.10378333677899525,4837
pilot_holdout,hyperplane_old,6245,0.5503605333197972,0.5439824149613666,0.16491944363383318,0.23270508820945965,0.23320239818069052,4837
pilot_holdout,positive_only,6245,0.6372941632906659,0.6287687446927152,0.15241412785404412,0.2125482020848233,0.1976431672524292,4837
pilot_holdout,F_composite,6245,0.8687680364329193,0.8584115519093287,0.10551761199803503,0.13458653148039396,0.07194542071531941,4837
pilot_holdout,F_paper,6245,0.8687696305265209,0.8584144469743699,0.10551742380232476,0.13458596040055398,0.07194542071531941,4837
validation_prolific,plain,3119,0.3260703287726563,0.20339519593611244,0.19395338338223098,0.25714243622016925,0.40644540644540644,2079
validation_prolific,documented,3119,0.746127526593033,0.6754447819430418,0.13711564263985807,0.17402352979470231,0.20394420394420396,2079
validation_prolific,aligned,3119,0.748772431745018,0.6795689464532745,0.1361893433457427,0.1730533997635709,0.2000962000962001,2079
validation_prolific,aligned_loo,3119,0.6680800874717147,0.592600898081152,0.15025382152907613,0.19380598572892532,0.2429052429052429,2079
validation_prolific,hyperplane_old,3119,0.4567434900846007,0.3368127751649179,0.18110643892564762,0.23851531920356842,0.36748436748436747,2079
validation_prolific,positive_only,3119,0.5661586234130043,0.47756127507647855,0.1667627170605947,0.21854593221732785,0.304954304954305,2079
validation_prolific,F_composite,3119,0.7461275265930332,0.6754447819430418,0.1371156426398581,0.17402352979470231,0.20394420394420396,2079
validation_prolific,F_paper,3119,0.7461244842363384,0.6754363243960203,0.13711735687409277,0.1740243884357523,0.20394420394420396,2079
