dataset,regime,u,f,s,variant,n_draws,pearson_r_mean,pearson_r_p2.5,pearson_r_p97.5,mae_mean,mae_p2.5,mae_p97.5,sign_error_rate_mean,sign_error_rate_p2.5,sign_error_rate_p97.5,rho_mean,rho_p2.5,rho_p97.5,p_at_5_mean,p_at_5_p2.5,p_at_5_p97.5,p_at_10_mean,p_at_10_p2.5,p_at_10_p97.5,ndcg_at_10_mean,ndcg_at_10_p2.5,ndcg_at_10_p97.5
pilot_holdout,full,0.0,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,documented,50,0.7653426721283533,0.7231649419184154,0.8047734746264404,0.12526440522709828,0.11927660886891536,0.13128256539910352,0.124358073185859,0.10837812693818483,0.14103783336778997,0.5879708829517404,0.5695713558880245,0.6037345834472269,0.7219469026548673,0.7079646017699115,0.7341150442477876,0.6103008849557523,0.5975442477876107,0.6208407079646018,0.8611042403858007,0.8542080278462143,0.8681270684246956
pilot_holdout,full,0.0,0.03,0.03,aligned,50,0.7671060570876527,0.7269767510998026,0.8040199294133786,0.12478298331851428,0.11839351314651202,0.13059878984254564,0.12315898284060368,0.10686375852801323,0.13837605954103782,0.5895294046384982,0.5748391905425826,0.6045080138680997,0.7233274336283185,0.7119026548672567,0.7327433628318585,0.6095044247787612,0.6001991150442478,0.6150442477876108,0.862960664915274,0.8566362509196449,0.8694947892772609
pilot_holdout,full,0.0,0.03,0.03,hyperplane_old,50,0.5167604498513179,0.47473060490046803,0.5494249633567825,0.16976562436469986,0.16486709505899638,0.17586929857244885,0.24753772999793264,0.23137275170560265,0.2638670663634484,0.46977174313281106,0.4533951158712412,0.48168604601789833,0.6553274336283187,0.6428761061946903,0.6696017699115044,0.5585486725663716,0.5473008849557522,0.5693141592920354,0.8088474974825897,0.8005106813175622,0.8172152161722676
pilot_holdout,full,0.1,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,0.1,0.03,0.03,documented,50,0.7301391153201283,0.6548982534099899,0.7859882853214034,0.1331264344003106,0.12480268801757459,0.14369697967743092,0.1457225553028737,0.12459685755633657,0.17113396733512506,0.5506246886219818,0.5150929121413352,0.5876420571215601,0.6943362831858407,0.6649115044247788,0.7187610619469027,0.5862300884955753,0.5642256637168142,0.6024557522123895,0.8418255972757342,0.8201929960610805,0.8550549959353363
pilot_holdout,full,0.1,0.03,0.03,aligned,50,0.735681094785178,0.6606586914049418,0.7907606445438784,0.13146693333490647,0.12303537547346369,0.14203209951923781,0.14181103990076493,0.12150093032871614,0.1671232168699607,0.5606617113624396,0.5303377789650406,0.5933845967192131,0.707787610619469,0.6835840707964602,0.7284070796460177,0.5944955752212391,0.5789601769911504,0.6126769911504425,0.8512091183860946,0.8336837830568773,0.8661157417976821
pilot_holdout,full,0.1,0.03,0.03,hyperplane_old,50,0.448418704761743,0.3991469166057502,0.5047786798550516,0.1810268081808983,0.173318446068386,0.18841128241478153,0.27857763076286957,0.2585176762456068,0.30106470953070086,0.43535584832753543,0.41475296936092465,0.4602726720298871,0.6298407079646018,0.6074778761061946,0.6554424778761062,0.5302654867256638,0.5134734513274336,0.5475884955752213,0.7888753059870472,0.7747646773186377,0.7995358952074682
pilot_holdout,full,0.25,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,0.25,0.03,0.03,documented,50,0.6761619707504785,0.6139091275799842,0.7428494534573239,0.14636952618707266,0.1356279430249284,0.1544501956807616,0.18494934876989869,0.15926193921852386,0.20955137481910274,0.49522912126976704,0.47390953150754705,0.5213536878648197,0.6559292035398231,0.6300884955752212,0.6796460176991151,0.5541592920353983,0.535995575221239,0.5690265486725663,0.8135883148362365,0.7953633527877053,0.8281192456073085
pilot_holdout,full,0.25,0.03,0.03,aligned,50,0.6812049204540874,0.6071107985449119,0.7437173637730291,0.14388214026687002,0.13260457604575043,0.15536340460419032,0.18056233202398184,0.1504910068224106,0.20852284473847427,0.5169606732831895,0.4838936405302042,0.5466818941356127,0.684141592920354,0.653495575221239,0.714646017699115,0.5747433628318585,0.5550663716814159,0.5911504424778762,0.832646705150088,0.8141933995838686,0.8471309804548154
pilot_holdout,full,0.25,0.03,0.03,hyperplane_old,50,0.38027492262024487,0.3338845337842083,0.4153235659927805,0.19200074338179324,0.18712444630954744,0.1984590398069112,0.3095844531734546,0.29356005788712014,0.3278426710771139,0.4027550289450302,0.3818097060019815,0.42609865490143284,0.6050619469026549,0.5795575221238938,0.6310619469026548,0.5027256637168142,0.4779867256637168,0.5246681415929203,0.7713321560227681,0.7550014110474293,0.7855816218567405
pilot_holdout,full,0.5,0.03,0.03,plain,50,0.2325738636684525,0.2325738636684525,0.2325738636684525,0.2120868638623036,0.21208686386230358,0.21208686386230358,0.36303493901178413,0.3630349390117842,0.3630349390117842,0.3447020411785019,0.34470204117850195,0.34470204117850195,0.5663716814159292,0.5663716814159292,0.5663716814159292,0.4646017699115044,0.4646017699115044,0.4646017699115044,0.7450447444646858,0.7450447444646858,0.7450447444646858
pilot_holdout,full,0.5,0.03,0.03,documented,50,0.523528964123446,0.4555035530605416,0.6055440860137925,0.17379680865346103,0.16368987079829844,0.18286838425907695,0.2634897663841224,0.22516022327889187,0.2877351664254703,0.3964261943261424,0.35180689025202044,0.4317965857657763,0.5848141592920354,0.5451327433628318,0.6173008849557523,0.4936460176991149,0.46431415929203546,0.5259513274336284,0.7601822524896491,0.73386076038795,0.7826871659203228
pilot_holdout,full,0.5,0.03,0.03,aligned,50,0.511441083702018,0.4354320337344731,0.599337378648373,0.17407979502411242,0.1612788345504449,0.18512333449014828,0.26714078974571015,0.22585280132313418,0.3047291709737441,0.4263150354934045,0.38142530478720094,0.46604651918413287,0.6232920353982301,0.5933185840707965,0.651504424778761,0.5215221238938053,0.49057522123893804,0.5500442477876106,0.7863709498662459,0.7620880134957939,0.8096125481812035
pilot_holdout,full,0.5,0.03,0.03,hyperplane_old,50,0.3051775502357539,0.2717595217898464,0.34562935960222474,0.2028253044149786,0.19719859982326576,0.2070989705102643,0.3389290882778582,0.32126834814967953,0.3542795120942733,0.3736761261760029,0.3547415508663846,0.3888775897823629,0.5895929203539824,0.5614601769911505,0.6119911504424779,0.47840707964601764,0.4594026548672566,0.49232300884955754,0.7579242659357845,0.7442562737236031,0.7678030127057545
